name,id,role,threatscore
River,753,Client Systems,25
Robby,754,Computer Systems Programming,57
Robin,755,Client Systems,21
Rocco,756,Cable and Antenna Systems,32
Rocky,757,Radio Frequency Transmission Systems,26
Roddy,758,Security Engineer,68
Roger,759,Radio Frequency Transmission Systems,40
Rohan,760,Cable and Antenna Systems,29
Rolla,761,Radio Frequency Transmission Systems,33
Rollo,762,Intelligence Analyst,56
Roman,763,Cybersecurity Developer,61
Romeo,764,Developmental Engineer,55
Romie,765,Fusion Analyst,24
Ronal,766,Cybersecurity Developer,79
Ronan,767,Intelligence Analyst,59
Ronin,768,Computer Systems Programming,50
Ronny,769,Security Engineer,78
Rosco,770,Computer Systems Programming,54
Rowan,771,Cable and Antenna Systems,36
Rowen,772,Radio Frequency Transmission Systems,38
Royal,773,Radio Frequency Transmission Systems,34
Royce,774,Cybersecurity Developer,77
Ruben,775,Cybersecurity Developer,79
Rubin,776,Security Engineer,69
Rufus,777,Cable and Antenna Systems,27
Rusty,778,Cyber Systems Operations,68
Ryder,779,Cyber Systems Operations,62
Ryker,780,Cable and Antenna Systems,39
Rylan,781,Developmental Engineer,68
Rylee,782,Radio Frequency Transmission Systems,25
Rylen,783,Fusion Analyst,30
Ryley,784,Software Engineer,52
Saint,785,Cable and Antenna Systems,33
Salem,786,Client Systems,26
Samie,787,Cable and Antenna Systems,34
Samir,788,Radio Frequency Transmission Systems,30
Sammy,789,Software Engineer,41
Sandy,790,Cybersecurity Developer,73
Santo,791,Developmental Engineer,67
Sarah,792,Client Systems,28
Savon,793,Cable and Antenna Systems,40
Scott,794,Intelligence Analyst,60
Semaj,795,Cybersecurity Developer,72
Seven,796,Cyber Systems Operations,62
Shade,797,Cyber Warfare Operations Officer,79
Shane,798,Computer Systems Programming,51
Shaun,799,Radio Frequency Transmission Systems,36
Shawn,800,Intelligence Officer,82
Shoji,801,Security Engineer,72
Silas,802,Software Engineer,42
Simon,803,Software Engineer,57
Slade,804,Cable and Antenna Systems,40
Smith,805,Radio Frequency Transmission Systems,39
Solon,806,Fusion Analyst,27
Sonny,807,Intelligence Analyst,53
Soren,808,Client Systems,30
Stacy,809,Security Engineer,76
Steve,810,Cyber Warfare Operations Officer,63
Stone,811,Client Systems,14
Storm,812,Cyber Systems Operations,68
Susan,813,Cable and Antenna Systems,33
Susie,814,Software Engineer,47
Sylas,815,Fusion Analyst,35
Tadeo,816,Radio Frequency Transmission Systems,23
Talan,817,Security Engineer,80
Talen,818,Developmental Engineer,54
Talon,819,Developmental Engineer,53
Tammy,820,Cable and Antenna Systems,40
Tandy,821,Cybersecurity Developer,76
Tarik,822,Cybersecurity Developer,72
Tariq,823,Cybersecurity Developer,61
Tatum,824,Intelligence Analyst,49
Tavon,825,Intelligence Analyst,59
Teddy,826,Software Engineer,43
Tegan,827,Fusion Analyst,30
Telly,828,Security Engineer,64
Terry,829,Cable and Antenna Systems,38
Tevin,830,Cable and Antenna Systems,29
Timmy,831,Security Engineer,62
Titan,832,Cyber Systems Operations,69
Titus,833,Intelligence Officer,87
Tobie,834,Security Engineer,62
Tobin,835,Cyber Warfare Operations Officer,67
Toivo,836,Computer Systems Programming,42
Tomas,837,Security Engineer,61
Tomie,838,Cybersecurity Developer,77
Tommy,839,Intelligence Analyst,60
Toney,840,Fusion Analyst,24
Torey,841,Cybersecurity Developer,61
Torin,842,Radio Frequency Transmission Systems,23
Torry,843,Cyber Warfare Operations Officer,69
Trace,844,Intelligence Analyst,40
Tracy,845,Radio Frequency Transmission Systems,36
Trent,846,Fusion Analyst,23
Tripp,847,Cyber Warfare Operations Officer,72
Tyler,848,Computer Systems Programming,51
Tylor,849,Computer Systems Programming,44
Tyree,850,Intelligence Analyst,45
Tyrek,851,Intelligence Analyst,41
Tyrel,852,Cyber Systems Operations,59
Tyrik,853,Fusion Analyst,32
Tyrin,854,Fusion Analyst,26
Tyriq,855,Intelligence Analyst,47
Tyron,856,Radio Frequency Transmission Systems,23
Tyrus,857,Radio Frequency Transmission Systems,21
Tyson,858,Security Engineer,67
Urban,859,Security Engineer,66
Uriah,860,Radio Frequency Transmission Systems,32
Uriel,861,Computer Systems Programming,54
Vance,862,Security Engineer,79
Verle,863,Radio Frequency Transmission Systems,38
Verna,864,Radio Frequency Transmission Systems,31
Verne,865,Fusion Analyst,18
Vidal,866,Cable and Antenna Systems,36
Vince,867,Software Engineer,56
Viola,868,Cyber Warfare Operations Officer,73
Virge,869,Client Systems,20
Waino,870,Software Engineer,58
Waldo,871,Client Systems,20
Wally,872,Intelligence Officer,89
Wayde,873,Cyber Systems Operations,56
Wayne,874,Security Engineer,61
Wells,875,Client Systems,23
Wiley,876,Software Engineer,52
Willy,877,Cyber Systems Operations,59
Woody,878,Fusion Analyst,35
Worth,879,Security Engineer,64
Wyatt,880,Software Engineer,40
Wylie,881,Security Engineer,64
Wyman,882,Cable and Antenna Systems,24
Yahir,883,Developmental Engineer,50
Yahya,884,Developmental Engineer,67
Yancy,885,Developmental Engineer,55
Yosef,886,Computer Systems Programming,49
Young,887,Radio Frequency Transmission Systems,35
Yurem,888,Cyber Systems Operations,64
Yusuf,889,Security Engineer,64
Zahir,890,Fusion Analyst,31
Zaire,891,Developmental Engineer,64
Zakai,892,Intelligence Officer,89
Zayne,893,Fusion Analyst,29
Zenas,894,Client Systems,15
